Wall time,Step,Value
1655684718.4729643,3829,-19.0
1655684846.0746677,4591,-21.0
1655685754.760309,9925,-21.0
1655686372.3275073,13634,-21.0
1655686553.4220722,14714,-19.0
1655687004.736753,17405,-21.0
1655687194.9890592,18543,-20.0
1655687423.2555668,19552,-20.0
1655687823.332319,21244,-21.0
1655688005.6485736,22084,-20.0
1655688612.7516882,24709,-21.0
1655688856.8163257,25716,-20.0
1655691625.2448015,37478,-20.0
1655693038.1887393,43481,-20.0
1655693225.6507068,44328,-21.0
1655693437.0296369,45238,-21.0
1655693839.2590775,46908,-21.0
1655694492.038315,49718,-20.0
1655695128.415427,52487,-20.0
1655695766.554803,55243,-20.0
1655695948.4339557,56035,-21.0
1655696178.665986,57017,-19.0
1655696361.6977985,57798,-21.0
1655696818.3795862,59748,-19.0
1655697073.40174,60869,-20.0
1655697296.1016502,61813,-21.0
1655697479.8899791,62575,-21.0
1655697909.9150224,64386,-20.0
1655698121.6780598,65285,-21.0
1655699401.102511,70757,-21.0
1655700452.450186,75127,-21.0
1655702037.907506,81982,-16.0
1655704215.457558,91418,-21.0
1655705103.831813,95260,-21.0
1655705798.8261087,98238,-18.0
1655705977.8653617,99000,-21.0
1655706431.907442,101036,-18.0
1655708038.353328,107804,-21.0
1655709105.9946475,112297,-20.0
1655709942.5010731,115959,-19.0
1655710125.0873551,116721,-21.0
1655710603.3003674,118775,-21.0
1655711057.2711573,120759,-19.0
1655712394.4765556,126616,-20.0
1655712605.4545507,127535,-20.0
1655714232.5183153,134513,-20.0
1655714780.7562764,136882,-20.0
1655714985.7909832,137767,-20.0
1655715590.963406,140401,-21.0
1655717173.2725112,147311,-21.0
1655717816.7179096,150040,-20.0
1655718256.066285,151922,-21.0
1655718716.5762348,153907,-20.0
1655720112.501567,160042,-21.0
1655720329.5017087,160956,-21.0
1655720594.8688655,162111,-19.0
1655721765.7334456,167036,-19.0
1655723336.7240896,173721,-20.0
1655723566.9561286,174712,-21.0
1655723809.029042,175748,-20.0
1655724723.6682863,179729,-21.0
1655724923.8255885,180611,-21.0
1655725163.7086482,181631,-21.0
1655726613.096221,187808,-21.0
1655727383.486752,191124,-19.0
1655727565.6590521,191946,-21.0
1655727801.0229373,192956,-19.0
1655728031.9384513,193905,-20.0
1655728433.2229517,195657,-21.0
1655729382.4201193,199597,-20.0
1655729860.7279549,201575,-19.0
1655730252.6977623,203265,-21.0
1655731209.9014106,207466,-20.0
1655731404.7497506,208316,-21.0
1655731634.5156512,209318,-20.0
1655732253.6477628,211944,-20.0
1655733345.0030782,217375,-19.0
1655735531.4665956,226873,-20.0
1655736696.3596618,231736,-21.0
1655736880.4203959,232526,-21.0
1655737158.7265408,233728,-18.0
1655739931.9022036,245766,-20.0
1655740171.610057,246817,-19.0
1655740412.3815556,247839,-21.0
1655742683.7974763,258230,-21.0
1655743373.026341,261182,-20.0
1655743820.2548175,263057,-20.0
1655744335.1870599,265215,-21.0
1655745303.6881962,269114,-20.0
1655745935.7179248,271787,-21.0
1655746653.4257214,274838,-18.0
1655747110.7298665,276760,-19.0
1655748331.98842,281844,-20.0
1655748831.80578,283885,-19.0
1655749037.7767048,284783,-21.0
1655750858.8157747,292475,-19.0
1655751424.1692858,294817,-19.0
1655752262.1061835,298305,-21.0
1655753211.8410466,302337,-19.0
1655753640.2636974,304187,-19.0
1655753872.3835256,305177,-21.0
1655754602.182382,308301,-21.0
1655757992.3223593,322906,-20.0
1655758203.3836567,323808,-21.0
1655759306.468342,328451,-20.0
1655759747.1123428,330371,-19.0
1655760006.6056268,331450,-20.0
1655761514.802186,337992,-19.0
1655762057.54222,340310,-18.0
1655762917.472256,344028,-20.0
1655763867.2068725,348061,-20.0
1655764217.2193189,349493,-18.0
1655764438.9365435,350438,-20.0
1655764698.504041,351607,-20.0
1655764882.8941145,352429,-21.0
1655765207.6665409,353743,-17.0
