Wall time,Step,Value
1655684718.4729452,3829,-20.0
1655684846.0746477,4591,-20.200000762939453
1655685754.760289,9925,-20.454545974731445
1655686372.3274868,13634,-20.399999618530273
1655686553.4220529,14714,-20.3125
1655687004.7367332,17405,-20.421052932739258
1655687194.9890375,18543,-20.399999618530273
1655687423.255543,19552,-20.380952835083008
1655687823.332291,21244,-20.434782028198242
1655688005.648545,22084,-20.41666603088379
1655688612.7516515,24709,-20.44444465637207
1655688856.8162968,25716,-20.428571701049805
1655691625.2447808,37478,-20.439023971557617
1655693038.1887112,43481,-20.45833396911621
1655693225.6506782,44328,-20.46938705444336
1655693437.0296087,45238,-20.479999542236328
1655693839.2590497,46908,-20.5
1655694492.0382848,49718,-20.509090423583984
1655695128.4153986,52487,-20.5
1655695766.554778,55243,-20.508195877075195
1655695948.4339275,56035,-20.516128540039062
1655696178.6659486,57017,-20.492063522338867
1655696361.6977699,57798,-20.5
1655696818.3795583,59748,-20.469696044921875
1655697073.4017122,60869,-20.46268653869629
1655697296.101622,61813,-20.47058868408203
1655697479.8899581,62575,-20.478260040283203
1655697909.9149945,64386,-20.45070457458496
1655698121.6780317,65285,-20.45833396911621
1655699401.1024823,70757,-20.487178802490234
1655700452.450166,75127,-20.506023406982422
1655702037.9074683,81982,-20.455554962158203
1655704215.4575303,91418,-20.450000762939453
1655705103.8317878,95260,-20.440000534057617
1655705798.8260803,98238,-20.399999618530273
1655705977.8653367,99000,-20.40999984741211
1655706431.9074144,101036,-20.3700008392334
1655708038.3533027,107804,-20.350000381469727
1655709105.994623,112297,-20.34000015258789
1655709942.5010445,115959,-20.329999923706055
1655710125.08733,116721,-20.329999923706055
1655710603.3003478,118775,-20.350000381469727
1655711057.2711334,120759,-20.329999923706055
1655712394.4765193,126616,-20.280000686645508
1655712605.4545252,127535,-20.270000457763672
1655714232.5182898,134513,-20.209999084472656
1655714780.7562459,136882,-20.18000030517578
1655714985.7909544,137767,-20.18000030517578
1655715590.963378,140401,-20.18000030517578
1655717173.2724833,147311,-20.149999618530273
1655717816.717879,150040,-20.139999389648438
1655718256.066257,151922,-20.15999984741211
1655718716.5762155,153907,-20.149999618530273
1655720112.5015194,160042,-20.149999618530273
1655720329.5016804,160956,-20.149999618530273
1655720594.8688369,162111,-20.1299991607666
1655721765.733409,167036,-20.110000610351562
1655723336.7240694,173721,-20.059999465942383
1655723566.9561086,174712,-20.079999923706055
1655723809.0290074,175748,-20.06999969482422
1655724723.6682575,179729,-20.110000610351562
1655724923.8255498,180611,-20.1200008392334
1655725163.7086196,181631,-20.1200008392334
1655726613.0961928,187808,-20.139999389648438
1655727383.4867282,191124,-20.15999984741211
1655727565.6590319,191946,-20.15999984741211
1655727801.022904,192956,-20.15999984741211
1655728031.9384224,193905,-20.149999618530273
1655728433.2229238,195657,-20.170000076293945
1655729382.4200914,199597,-20.190000534057617
1655729860.727927,201575,-20.200000762939453
1655730252.6977258,203265,-20.200000762939453
1655731209.9013853,207466,-20.139999389648438
1655731404.7497287,208316,-20.149999618530273
1655731634.515624,209318,-20.149999618530273
1655732253.6477425,211944,-20.149999618530273
1655733345.0030577,217375,-20.1299991607666
1655735531.4665685,226873,-20.190000534057617
1655736696.3596363,231736,-20.239999771118164
1655736880.4203677,232526,-20.270000457763672
1655737158.7265165,233728,-20.25
1655739931.902183,245766,-20.170000076293945
1655740171.6100295,246817,-20.149999618530273
1655740412.381527,247839,-20.15999984741211
1655742683.797448,258230,-20.149999618530273
1655743373.026302,261182,-20.139999389648438
1655743820.254789,263057,-20.1200008392334
1655744335.1870317,265215,-20.149999618530273
1655745303.6881683,269114,-20.1299991607666
1655745935.7178967,271787,-20.1299991607666
1655746653.4256995,274838,-20.09000015258789
1655747110.7298465,276760,-20.09000015258789
1655748331.9883919,281844,-20.010000228881836
