Wall time,Step,Value
1655684610.814818,3602,-20.0
1655684751.5356195,4424,-21.0
1655686308.7544842,13443,-20.0
1655686458.6704078,14320,-21.0
1655686917.9742675,17028,-21.0
1655687067.216799,17908,-21.0
1655687211.226035,18758,-21.0
1655687715.1835558,20880,-21.0
1655687907.693433,21730,-21.0
1655688519.5418553,24394,-19.0
1655688723.5918388,25245,-21.0
1655691521.0086584,37148,-21.0
1655692959.3641026,43272,-19.0
1655693143.0824547,44081,-21.0
1655693312.968487,44843,-21.0
1655693757.0603669,46723,-20.0
1655694396.9900692,49446,-20.0
1655695625.3469942,54826,-21.0
1655695851.8757634,55834,-20.0
1655696062.6703026,56730,-20.0
1655696268.0969195,57640,-21.0
1655696893.859156,60356,-21.0
1655697074.885259,61148,-21.0
1655697336.3588035,62262,-18.0
1655697727.1741996,63922,-20.0
1655697932.0604131,64791,-21.0
1655699112.3150835,69836,-21.0
1655700223.5839038,74506,-21.0
1655701622.7657142,80548,-21.0
1655703768.1384485,89824,-21.0
1655704671.1391509,93688,-21.0
1655705309.419644,96385,-21.0
1655705513.6840982,97269,-21.0
1655705943.1844134,99108,-21.0
1655707429.0455463,105386,-21.0
1655708415.5375464,109556,-21.0
1655709341.7433639,113489,-21.0
1655709575.2057812,114469,-20.0
1655709992.2923937,116263,-21.0
1655710396.7484956,117971,-19.0
1655711659.5824425,123408,-21.0
1655711865.867525,124277,-21.0
1655713440.0234065,130960,-21.0
1655713894.2583826,132846,-20.0
1655714092.556775,133696,-21.0
1655714756.3156939,136531,-21.0
1655716285.6796732,143039,-20.0
1655716894.229376,145645,-21.0
1655717375.9792,147619,-18.0
1655717795.9043899,149390,-19.0
1655719086.3630335,154890,-20.0
1655719302.2092464,155790,-20.0
1655719518.828799,156736,-21.0
1655720491.1642227,160895,-21.0
1655722001.8214977,167219,-21.0
1655722181.426916,167981,-21.0
1655722373.0345507,168803,-21.0
1655723249.2771115,172491,-21.0
1655723467.192255,173419,-21.0
1655723726.8696806,174540,-18.0
1655725165.9420707,180754,-21.0
1655725825.9561646,183575,-21.0
1655726039.9017248,184472,-20.0
1655726231.5090728,185294,-21.0
1655726448.1974676,186211,-20.0
1655726841.1012378,187931,-21.0
1655727650.0611496,191414,-21.0
1655728105.6685085,193288,-20.0
1655728574.0623877,195289,-21.0
1655729486.4328644,199014,-21.0
1655729689.6486242,199855,-21.0
1655729917.99106,200800,-20.0
1655730565.3558726,203599,-21.0
1655731614.1153946,208114,-20.0
1655733595.885347,217338,-21.0
1655734723.2646387,222024,-21.0
1655735043.7422166,223331,-15.0
1655735258.8790486,224231,-21.0
1655737828.6358836,234984,-19.0
1655738032.5270321,235853,-21.0
1655738259.1828177,236845,-19.0
1655740584.3049543,246722,-21.0
1655741053.7988536,249498,-21.0
1655741455.7992215,251199,-20.0
1655741881.9815826,252922,-20.0
1655742799.9101224,256809,-21.0
1655743450.7255998,259608,-18.0
1655744175.3708904,262644,-21.0
1655744620.7332444,264509,-21.0
1655745707.6568396,268967,-20.0
1655746100.2562513,270658,-20.0
1655746309.7802823,271570,-21.0
1655748035.9155588,278853,-21.0
1655748461.8219485,280614,-20.0
1655749266.5684237,284065,-21.0
1655750123.7787192,287699,-21.0
1655750578.9630148,289621,-20.0
1655750833.0630822,290666,-20.0
1655751511.5907192,293469,-21.0
1655755046.3919835,308573,-20.0
1655755302.391144,309632,-18.0
1655756507.036565,314818,-19.0
1655757028.0466316,317035,-20.0
1655757259.072322,318039,-19.0
1655758696.4556513,324071,-21.0
1655759309.4017537,326648,-18.0
1655760179.1991565,330305,-21.0
1655761134.9107084,334357,-21.0
1655761366.358578,335348,-21.0
1655761599.4381604,336322,-20.0
1655761873.8601904,337452,-19.0
1655762086.3403213,338383,-20.0
1655762376.6324396,339621,-20.0
1655764827.0660043,349924,-21.0
1655766809.2399352,358158,-21.0
1655767725.0547767,361960,-20.0
1655768240.7322068,364122,-20.0
1655768686.6164465,365971,-20.0
1655769332.0862145,368660,-20.0
1655770547.2397203,373691,-17.0
1655771087.3219664,375941,-18.0
1655772323.0471084,381100,-21.0
1655773508.2798512,386051,-19.0
1655773741.8654473,387026,-21.0
1655775146.0321689,392892,-20.0
1655775379.5553713,393867,-19.0
1655776310.6671915,397755,-20.0
1655777225.657417,401570,-20.0
1655778562.568319,407181,-21.0
1655778760.9385946,408022,-21.0
1655779023.3457184,409109,-20.0
1655779496.783993,411126,-20.0
1655780323.9159646,414617,-21.0
1655780525.152186,415468,-21.0
1655780968.6846166,417332,-21.0
1655781849.3678312,421058,-21.0
1655782284.7053416,422889,-21.0
1655783165.2857487,426585,-21.0
1655784177.8975089,430865,-18.0
1655784402.290929,431795,-20.0
1655785418.4844625,436060,-18.0
1655785648.3379698,437028,-21.0
1655786127.6131492,439040,-20.0
1655786590.5615768,440982,-21.0
1655787574.9708633,445152,-21.0
1655787768.9324198,445990,-21.0
1655788933.105419,451026,-21.0
1655789125.775303,451850,-21.0
1655790508.437535,457693,-20.0
1655790969.2138674,459610,-21.0
1655792131.2777221,464472,-18.0
1655793086.7978265,468577,-19.0
1655795824.4265666,480088,-20.0
1655796055.1125753,481061,-21.0
1655796279.1574173,482019,-20.0
1655796501.5614357,482985,-20.0
1655796727.0150707,483935,-21.0
1655796925.4529517,484774,-21.0
1655797698.2680528,488065,-19.0
1655797946.739714,489132,-19.0
1655798176.011887,490118,-21.0
1655801314.5697553,503382,-20.0
1655801571.1861124,504491,-21.0
1655801986.7052104,506261,-21.0
1655802216.9887645,507235,-19.0
1655802475.0893526,508329,-20.0
1655802954.7084756,510382,-19.0
1655803394.3637366,512249,-21.0
1655803826.5656252,514120,-20.0
1655804251.1302042,515969,-20.0
1655804527.9518335,517151,-19.0
1655805288.3141193,520324,-16.0
1655805742.2378595,522228,-21.0
1655806434.9654524,525231,-20.0
1655806633.687354,526082,-21.0
1655808116.3439317,532476,-20.0
1655808567.8487442,534403,-20.0
1655809608.0632715,538738,-21.0
1655810137.5358434,541851,-20.0
1655810465.895359,543799,-21.0
1655810940.142381,546614,-21.0
1655812261.4039702,554440,-21.0
1655812467.0817437,555659,-17.0
1655812950.1314647,558510,-20.0
1655813254.0227792,560295,-21.0
1655813388.336188,561085,-21.0
1655813863.0100458,563893,-21.0
1655814244.7313256,566158,-21.0
1655814590.4490898,568205,-20.0
1655814767.5952578,569254,-20.0
1655815260.3049264,572173,-19.0
1655815413.0710278,573081,-21.0
1655816241.1315947,577981,-20.0
1655817117.949161,583161,-21.0
1655817258.064854,583983,-21.0
1655817577.0664797,585863,-21.0
1655818564.5057788,591701,-20.0
1655818705.6650045,592535,-21.0
1655819219.7958949,595556,-19.0
1655819556.4911246,597541,-20.0
1655819761.4526215,598750,-19.0
1655820451.910135,602836,-21.0
