Wall time,Step,Value
1655684610.8147984,3602,-20.25
1655684751.535601,4424,-20.399999618530273
1655686308.7544632,13443,-20.33333396911621
1655686458.670386,14320,-20.375
1655686917.974248,17028,-20.421052932739258
1655687067.2167788,17908,-20.450000762939453
1655687211.2260163,18758,-20.4761905670166
1655687715.1835275,20880,-20.39130401611328
1655687907.6934056,21730,-20.41666603088379
1655688519.5418274,24394,-20.370370864868164
1655688723.5918114,25245,-20.39285659790039
1655691521.0086215,37148,-20.512195587158203
1655692959.3640754,43272,-20.52083396911621
1655693143.0824275,44081,-20.53061294555664
1655693312.968463,44843,-20.540000915527344
1655693757.0603418,46723,-20.519229888916016
1655694396.990015,49446,-20.527273178100586
1655695625.3469672,54826,-20.491804122924805
1655695851.87573,55834,-20.483871459960938
1655696062.670279,56730,-20.4761905670166
1655696268.0968952,57640,-20.484375
1655696893.8591287,60356,-20.507463455200195
1655697074.8852317,61148,-20.514705657958984
1655697336.3587766,62262,-20.478260040283203
1655697727.1741722,63922,-20.478872299194336
1655697932.0603852,64791,-20.48611068725586
1655699112.3150556,69836,-20.5
1655700223.5838828,74506,-20.506023406982422
1655701622.7656868,80548,-20.53333282470703
1655703768.1384194,89824,-20.479999542236328
1655704671.1391263,93688,-20.479999542236328
1655705309.4196165,96385,-20.469999313354492
1655705513.68407,97269,-20.489999771118164
1655705943.1843889,99108,-20.479999542236328
1655707429.0455182,105386,-20.5
1655708415.5375254,109556,-20.520000457763672
1655709341.7433357,113489,-20.510000228881836
1655709575.205753,114469,-20.520000457763672
1655709992.2923746,116263,-20.510000228881836
1655710396.748468,117971,-20.5
1655711659.582415,123408,-20.489999771118164
1655711865.867498,124277,-20.489999771118164
1655713440.0233874,130960,-20.469999313354492
1655713894.2583528,132846,-20.459999084472656
1655714092.5567467,133696,-20.479999542236328
1655714756.3156693,136531,-20.469999313354492
1655716285.6796453,143039,-20.479999542236328
1655716894.229349,145645,-20.479999542236328
1655717375.9791632,147619,-20.459999084472656
1655717795.9043624,149390,-20.440000534057617
1655719086.3630059,154890,-20.43000030517578
1655719302.2092216,155790,-20.420000076293945
1655719518.8287795,156736,-20.420000076293945
1655720491.1641955,160895,-20.43000030517578
1655722001.82147,167219,-20.399999618530273
1655722181.4268887,167981,-20.40999984741211
