Wall time,Step,Value
1654534530.2585049,4446,-19.0
1654534794.6700163,6008,-15.0
1654536236.4442883,14472,-17.0
1654537078.3971643,19410,-18.0
1654537267.0984597,20509,-18.0
1654538086.4801874,25290,-12.0
1654538359.6697245,26876,-14.0
1654538542.7006433,27949,-20.0
1654539052.5142128,30934,-16.0
1654539316.5597034,32468,-15.0
1654540010.0957577,36505,-18.0
1654540251.2002008,37908,-19.0
1654543307.033062,55709,-16.0
1654543778.4050694,58464,-17.0
1654545489.8680623,68479,-18.0
1654545870.3524299,70707,-14.0
1654546125.0755548,72212,-17.0
1654546642.6470318,75261,-17.0
1654547416.9072404,79792,-18.0
1654548118.2656703,83897,-19.0
1654548808.4846942,87984,-16.0
1654549116.4774814,89810,-14.0
1654549351.9568017,91205,-17.0
1654549578.026063,92540,-18.0
1654550045.5986614,95298,-17.0
1654550298.418401,96797,-13.0
1654550539.4258175,98228,-17.0
1654550774.3785484,99625,-15.0
1654551287.9421833,102654,-20.0
1654551581.1204448,104381,-14.0
1654553083.9309046,113170,-16.0
1654553619.0357306,116316,-18.0
1654554448.9225957,121186,-15.0
1654555200.8898807,125599,-19.0
1654556256.0489204,131407,-17.0
1654558929.0352426,146658,-18.0
1654559226.352051,148394,-14.0
1654560043.380246,153132,-14.0
1654560879.3103592,157982,-17.0
1654561123.0450265,159386,-19.0
1654561638.9407167,162379,-14.0
1654563715.2291179,173868,-18.0
1654565033.382568,181431,-15.0
1654566146.6004882,187888,-14.0
1654566369.8634677,189194,-18.0
1654566926.1049976,192431,-16.0
1654567430.7384534,195363,-18.0
1654567734.0031815,197132,-16.0
1654569092.5235407,205089,-15.0
1654569343.2953448,206566,-17.0
1654571156.7286403,217212,-18.0
1654571726.2481573,220539,-16.0
1654571981.0817375,222050,-15.0
1654572897.997068,227422,-16.0
1654574687.9896119,237984,-13.0
1654575547.3853226,243080,-16.0
1654576102.0429802,246380,-15.0
1654576692.7563589,249887,-13.0
1654578237.0376778,259036,-18.0
1654578515.5090995,260672,-15.0
1654578791.2458043,262307,-15.0
1654579623.1319845,267213,-16.0
1654580108.8747458,270074,-19.0
1654581380.3653734,277587,-9.0
1654582217.5687087,282542,-16.0
1654582482.910925,284100,-15.0
1654582770.294462,285793,-16.0
1654583728.0598874,291458,-14.0
1654584028.4909577,293242,-14.0
1654584288.185643,294790,-19.0
1654586124.8497581,305657,-21.0
1654586879.1953938,310104,-19.0
1654587250.8969746,312294,-10.0
1654587516.876491,313860,-13.0
1654587688.390006,314869,-20.0
1654588210.2483244,317953,-19.0
1654588747.0972025,321122,-19.0
1654589433.6070309,325178,-11.0
1654589989.4385037,328455,-17.0
1654590646.1795778,332313,-10.0
1654590970.3555841,334205,-14.0
1654591679.8488264,338378,-16.0
1654591959.777764,340021,-15.0
1654592210.8117144,341483,-17.0
