Wall time,Step,Value
1654534530.2584856,4446,-18.5
1654534794.669997,6008,-17.799999237060547
1654536236.4442685,14472,-18.0
1654537078.3971443,19410,-17.866666793823242
1654537267.0984359,20509,-17.875
1654538086.4801621,25290,-17.473684310913086
1654538359.6697052,26876,-17.299999237060547
1654538542.7006233,27949,-17.428571701049805
1654539052.5141938,30934,-17.434782028198242
1654539316.5596838,32468,-17.33333396911621
1654540010.0957382,36505,-17.407407760620117
1654540251.2001808,37908,-17.464284896850586
1654543307.0330422,55709,-17.05128288269043
1654543778.4050503,58464,-17.024391174316406
1654545489.8680415,68479,-16.97916603088379
1654545870.3524094,70707,-16.918367385864258
1654546125.0755348,72212,-16.920000076293945
1654546642.6470132,75261,-16.923076629638672
1654547416.907221,79792,-16.872726440429688
1654548118.2656507,83897,-16.89655113220215
1654548808.4846592,87984,-16.95081901550293
1654549116.477462,89810,-16.90322494506836
1654549351.9567816,91205,-16.904762268066406
1654549578.0260434,92540,-16.921875
1654550045.5986407,95298,-16.92424201965332
1654550298.4183812,96797,-16.865671157836914
1654550539.425798,98228,-16.867647171020508
1654550774.3785288,99625,-16.840579986572266
1654551287.942163,102654,-16.81690216064453
1654551581.120425,104381,-16.77777862548828
1654553083.9308858,113170,-16.743589401245117
1654553619.0357113,116316,-16.762500762939453
1654554448.9225593,121186,-16.759037017822266
1654555200.889861,125599,-16.720930099487305
1654556256.0488966,131407,-16.72222137451172
1654558929.0352232,146658,-16.690000534057617
1654559226.3520317,148394,-16.65999984741211
1654560043.3802264,153132,-16.59000015258789
1654560879.3103135,157982,-16.530000686645508
1654561123.045007,159386,-16.530000686645508
1654561638.9406977,162379,-16.479999542236328
1654563715.2290967,173868,-16.31999969482422
1654565033.3825347,181431,-16.350000381469727
1654566146.6004674,187888,-16.329999923706055
1654566369.863447,189194,-16.329999923706055
1654566926.1049783,192431,-16.309999465942383
1654567430.738434,195363,-16.3799991607666
1654567734.0031629,197132,-16.34000015258789
1654569092.5235212,205089,-16.219999313354492
1654569343.2953246,206566,-16.25
1654571156.7286205,217212,-16.34000015258789
1654571726.2481377,220539,-16.25
1654571981.0817175,222050,-16.219999313354492
1654572897.997049,227422,-16.100000381469727
1654574687.9895895,237984,-16.030000686645508
1654575547.3853033,243080,-15.899999618530273
1654576102.0429587,246380,-15.899999618530273
1654576692.7563374,249887,-15.859999656677246
1654578237.0376577,259036,-15.899999618530273
1654578515.5090785,260672,-15.90999984741211
1654578791.2457848,262307,-15.869999885559082
1654579623.131964,267213,-15.850000381469727
1654580108.8747213,270074,-15.899999618530273
1654581380.3653529,277587,-15.739999771118164
1654582217.5686724,282542,-15.760000228881836
1654582482.910906,284100,-15.720000267028809
1654582770.2944264,285793,-15.699999809265137
1654583728.0598679,291458,-15.6899995803833
1654584028.490938,293242,-15.649999618530273
1654584288.185624,294790,-15.699999809265137
1654586124.8497372,305657,-15.699999809265137
1654586879.195374,310104,-15.729999542236328
1654587250.8969555,312294,-15.6899995803833
1654587516.8764718,313860,-15.6899995803833
1654587688.3899865,314869,-15.739999771118164
1654588210.2483008,317953,-15.6899995803833
1654588747.0971818,321122,-15.670000076293945
1654589433.6070113,325178,-15.630000114440918
1654589989.4384844,328455,-15.640000343322754
1654590646.1795568,332313,-15.579999923706055
1654590970.355561,334205,-15.539999961853027
1654591679.8488069,338378,-15.5
1654591959.777744,340021,-15.5
1654592210.8116953,341483,-15.520000457763672
1654593085.8220701,346579,-15.470000267028809
1654594589.130069,355331,-15.460000038146973
1654597638.156447,373050,-15.270000457763672
1654598412.8108456,377595,-15.15999984741211
1654599407.12641,383404,-15.0
1654599655.4442618,384840,-15.039999961853027
1654599983.468461,386755,-15.029999732971191
1654602239.1160066,399979,-15.0
1654603416.7985744,406860,-15.020000457763672
1654603794.4096308,409067,-15.029999732971191
1654604087.0382178,410776,-15.020000457763672
1654604628.6583118,413959,-15.0
1654606939.7334807,427471,-14.869999885559082
1654607189.9936006,428929,-14.890000343322754
1654607939.3613598,433323,-14.979999542236328
1654608348.7541118,435710,-15.050000190734863
1654608734.894901,437974,-15.0600004196167
1654609364.1358266,441650,-15.0600004196167
1654609852.6157205,444492,-15.220000267028809
1654610080.8035588,445822,-15.260000228881836
1654610631.297149,449021,-15.3100004196167
1654611180.2682903,452233,-15.300000190734863
1654611442.1651533,453764,-15.300000190734863
1654612060.3449159,457392,-15.229999542236328
1654613646.6675832,466755,-15.15999984741211
1654613887.211194,468169,-15.15999984741211
1654614192.9481342,469964,-15.109999656677246
1654614468.6000183,471599,-15.069999694824219
1654616915.4241269,486128,-14.850000381469727
1654617444.474268,489265,-14.829999923706055
1654618700.2167811,496696,-14.770000457763672
1654619801.9720643,503239,-14.8100004196167
1654620469.2471159,507186,-14.699999809265137
1654620710.000995,508616,-14.710000038146973
1654621698.5329604,514471,-14.59000015258789
1654623733.8540952,526531,-14.529999732971191
1654624290.997225,529834,-14.579999923706055
1654624627.6564646,531819,-14.520000457763672
1654626161.5290318,540844,-14.529999732971191
1654626477.354304,542692,-14.520000457763672
1654627100.0733712,546317,-14.510000228881836
1654628044.237072,551857,-14.529999732971191
1654628771.9657536,556131,-14.479999542236328
1654629009.0762045,557514,-14.529999732971191
1654630487.8193512,566188,-14.319999694824219
1654631106.1902947,569811,-14.239999771118164
1654631909.4921916,574480,-14.109999656677246
1654633290.8652182,582502,-13.949999809265137
1654634516.8073092,589639,-13.989999771118164
1654634823.8720262,591427,-13.989999771118164
1654635144.3629224,593289,-14.0
1654635450.0036552,595071,-14.010000228881836
1654635818.8861105,597221,-14.0
1654636129.1630192,599020,-13.970000267028809
1654638304.150112,611583,-13.680000305175781
1654639147.3648288,616415,-13.569999694824219
1654639438.2207682,618116,-13.550000190734863
1654642136.7493827,633847,-13.069999694824219
1654643299.9911392,640651,-13.039999961853027
1654643605.729994,642426,-13.079999923706055
1654643913.1869705,644222,-13.09000015258789
1654644642.2087722,648434,-13.0
1654645786.0299516,655071,-12.899999618530273
1654647287.4831214,663812,-12.869999885559082
1654647890.6205547,667326,-12.899999618530273
1654649889.4343152,677748,-12.880000114440918
1654651520.8025935,685170,-12.789999961853027
1654651921.3709238,686971,-12.75
1654652467.1989975,689365,-12.710000038146973
1654653705.7872913,694910,-12.699999809265137
1654654875.2875857,700252,-12.680000305175781
1654655182.624989,701636,-12.710000038146973
1654656364.6495564,706983,-12.619999885559082
1654656755.0482628,708797,-12.649999618530273
1654658238.7750065,715604,-12.609999656677246
1654660194.489053,724715,-12.609999656677246
1654660480.7991896,726417,-12.579999923706055
1654660829.2249048,728455,-12.550000190734863
1654661574.2940352,732866,-12.470000267028809
1654661831.9601643,734384,-12.5
1654662141.27013,736217,-12.59000015258789
1654662759.5150716,739881,-12.520000457763672
1654663058.840877,741646,-12.539999961853027
1654663774.4593823,745880,-12.449999809265137
1654665067.1124492,753501,-12.649999618530273
1654665669.510058,757076,-12.720000267028809
1654665957.8852534,758775,-12.770000457763672
1654666278.5086858,760676,-12.829999923706055
1654666961.683349,764720,-12.880000114440918
1654668226.5375185,772199,-12.859999656677246
1654668440.9371474,773458,-12.920000076293945
1654669937.6576397,782253,-12.710000038146973
1654670196.277576,783777,-12.729999542236328
1654670829.440877,787511,-12.770000457763672
1654671443.451026,791117,-12.699999809265137
1654672743.9101248,798732,-12.729999542236328
1654672998.8085115,800220,-12.739999771118164
1654673937.5094473,805708,-12.65999984741211
1654674652.2986217,809877,-12.5600004196167
1654674990.7389772,811861,-12.5600004196167
1654675810.6201172,816659,-12.550000190734863
1654676126.1472735,818500,-12.550000190734863
1654677133.3059661,824404,-12.630000114440918
1654677555.6338596,826879,-12.5
1654677861.2974966,828673,-12.520000457763672
1654678471.5355656,832252,-12.5600004196167
1654679497.941936,838279,-12.569999694824219
1654680941.052283,846704,-12.520000457763672
1654682309.6881125,854706,-12.4399995803833
1654682595.605685,856384,-12.449999809265137
1654683430.0589943,861265,-12.600000381469727
1654684572.0194,867946,-12.449999809265137
1654684929.9692214,870043,-12.449999809265137
1654685282.8866296,872119,-12.390000343322754
1654685547.0459702,873663,-12.399999618530273
1654685804.0010004,875173,-12.449999809265137
1654686060.5851855,876673,-12.470000267028809
1654686953.845618,881877,-12.59000015258789
1654687301.3778548,883880,-12.569999694824219
1654687611.8120487,885681,-12.5600004196167
1654688090.9924433,888486,-12.489999771118164
1654689039.0121918,894087,-12.40999984741211
1654691533.2003968,908801,-12.1899995803833
1654692526.9848351,914625,-12.050000190734863
1654692934.6569686,917020,-12.020000457763672
1654693632.13789,921131,-12.0
1654693991.3742936,923252,-12.0
1654694337.8621335,925301,-12.010000228881836
1654695003.766912,929235,-12.029999732971191
1654695784.7540789,933844,-11.9399995803833
1654696666.363722,939034,-11.789999961853027
1654697361.9845133,943129,-11.789999961853027
1654697704.5756042,945164,-11.770000457763672
1654698717.5922077,951147,-11.670000076293945
1654699390.7537715,955134,-11.5600004196167
1654700529.9015405,961860,-11.420000076293945
1654700865.4746234,963844,-11.430000305175781
1654703151.3186786,977364,-11.119999885559082
