Wall time,Step,Value
1654533777.8186707,1081,-20.0
1654534219.7654462,3679,-20.75
1654534381.7697995,4628,-20.600000381469727
1654535356.9494433,10383,-20.636363983154297
1654535565.481156,11614,-20.33333396911621
1654536046.1944735,14472,-20.266666412353516
1654536194.2789104,15358,-20.3125
1654536646.560724,18059,-20.3157901763916
1654536803.6855197,18999,-20.350000381469727
1654536953.8564305,19882,-20.33333396911621
1654537238.501582,21591,-20.34782600402832
1654537371.308269,22381,-20.375
1654537850.812987,25242,-20.370370864868164
1654538006.4575,26182,-20.39285659790039
1654539090.5037112,32679,-20.147058486938477
1654539556.9966547,35458,-20.189189910888672
1654539709.6906552,36368,-20.210525512695312
1654539850.8724031,37209,-20.230770111083984
1654540022.9441662,38240,-20.200000762939453
1654540155.8445346,39031,-20.219512939453125
1654541301.9359608,45870,-20.1875
1654541510.7841723,47124,-20.14285659790039
1654541668.526729,48070,-20.15999984741211
1654541974.9443665,49902,-20.153846740722656
1654542127.5042136,50812,-20.169811248779297
1654542444.6138885,52696,-20.200000762939453
1654542882.9817107,55304,-20.241378784179688
1654543397.7286825,58379,-20.229507446289062
1654543544.0655737,59263,-20.24193572998047
1654543744.5837967,60469,-20.22222137451172
1654543887.3493369,61331,-20.234375
1654544206.6505554,63241,-20.24242401123047
1654544371.776805,64228,-20.25373077392578
1654544517.0848303,65098,-20.25
1654544675.2654614,66038,-20.2608699798584
1654544957.0535336,67709,-20.28169059753418
1654545088.1139543,68471,-20.29166603088379
1654546016.0627625,74012,-20.28205108642578
1654546369.4736612,76101,-20.274999618530273
1654546539.1817007,77103,-20.283950805664062
1654546863.9832182,79019,-20.289155960083008
1654547021.9245362,79963,-20.297618865966797
1654547327.220455,81773,-20.302326202392578
1654548011.4384437,85808,-20.299999237060547
1654548143.6512055,86589,-20.30769157409668
1654548978.8185956,91559,-20.28125
1654549644.6207175,95496,-20.290000915527344
1654549820.589638,96526,-20.299999237060547
1654550338.0082426,99581,-20.260000228881836
1654550804.2061253,102344,-20.239999771118164
1654550955.2638705,103245,-20.229999542236328
1654551287.8684516,105228,-20.209999084472656
1654552062.6728663,109826,-20.270000457763672
1654552399.4802184,111801,-20.239999771118164
1654553232.8609319,116704,-20.270000457763672
1654553875.0072582,120481,-20.260000228881836
1654554027.167219,121382,-20.25
1654554353.2641718,123303,-20.25
1654554759.1409223,125693,-20.25
1654554937.7648711,126729,-20.239999771118164
1654555094.1260862,127631,-20.270000457763672
1654555805.1859906,131713,-20.25
1654555950.8486264,132494,-20.25
1654556980.7372859,138127,-20.239999771118164
1654557140.0581796,139055,-20.239999771118164
1654557477.1952598,140997,-20.229999542236328
1654557660.186583,142050,-20.229999542236328
1654558222.4242973,145276,-20.239999771118164
1654559421.4633105,152367,-20.139999389648438
1654559742.4741719,154261,-20.149999618530273
1654559961.1634376,155556,-20.15999984741211
1654560283.386924,157463,-20.18000030517578
1654560630.2049568,159511,-20.170000076293945
1654560955.8289835,161441,-20.170000076293945
1654561608.9147108,165309,-20.149999618530273
1654561797.192111,166420,-20.1299991607666
1654561974.8358061,167477,-20.1299991607666
1654562559.156877,170748,-20.1200008392334
1654562730.1871967,171762,-20.110000610351562
1654562936.3085637,172782,-20.110000610351562
1654563125.9140997,173910,-20.100000381469727
1654563527.6389189,176098,-20.100000381469727
1654563691.7357051,177079,-20.110000610351562
1654564334.489368,180810,-20.040000915527344
1654564482.3945355,181680,-20.049999237060547
1654564674.5463846,182783,-20.030000686645508
1654565154.898124,185623,-20.030000686645508
1654565331.2771578,186672,-20.020000457763672
1654565483.3154178,187541,-20.030000686645508
1654565664.9921722,188627,-20.030000686645508
1654566167.6813753,191620,-20.06999969482422
1654566809.069561,195434,-20.049999237060547
1654566955.1264064,196307,-20.049999237060547
1654567249.6648395,198057,-20.040000915527344
1654567451.707733,199261,-20.059999465942383
1654567641.2979488,200388,-20.049999237060547
1654567813.7129762,201422,-20.049999237060547
1654568184.2176466,203626,-20.040000915527344
1654568495.2800145,205483,-20.040000915527344
1654568827.083388,207477,-20.010000228881836
1654569155.8769329,209445,-20.0
1654569501.1413174,211495,-20.010000228881836
1654569641.7514853,212334,-20.020000457763672
1654570039.0213308,214702,-19.959999084472656
1654570180.580985,215548,-19.959999084472656
1654570373.33962,216699,-19.920000076293945
1654570512.6661534,217527,-19.920000076293945
1654570667.268709,218455,-19.90999984741211
1654570962.4018981,220221,-19.93000030517578
1654571156.988605,221382,-19.920000076293945
1654571830.9282794,225379,-19.93000030517578
1654572906.784349,231786,-19.950000762939453
1654573272.4710603,233964,-19.940000534057617
1654573430.8096616,234902,-19.950000762939453
1654573624.7462015,236060,-19.940000534057617
1654574005.0445657,238329,-19.90999984741211
1654574137.4168856,239121,-19.940000534057617
1654574439.8594573,240924,-19.969999313354492
1654574594.984325,241837,-19.979999542236328
1654574818.8144023,243176,-19.959999084472656
1654574994.04928,244225,-19.950000762939453
1654575800.9557126,249046,-19.969999313354492
1654575963.8863554,250015,-19.979999542236328
1654576141.2798874,251080,-20.0
1654576707.6192887,254456,-20.010000228881836
1654576871.267785,255440,-20.010000228881836
1654577002.713842,256231,-20.010000228881836
1654577191.121943,257359,-20.0
1654577490.7491195,259154,-20.0
1654578744.8056688,266679,-20.0
1654578932.7746234,267816,-20.0
1654579411.3642051,270677,-20.010000228881836
1654579622.3194387,271947,-20.030000686645508
1654579794.7174137,272973,-20.040000915527344
1654580161.8114402,275174,-20.030000686645508
1654580484.741355,277105,-20.040000915527344
1654580847.5673835,279281,-19.989999771118164
1654581042.6134198,280451,-19.989999771118164
1654581372.8397965,282420,-20.010000228881836
1654581769.3630605,284802,-20.010000228881836
1654581948.3367746,285879,-20.020000457763672
1654582369.719717,288417,-19.959999084472656
1654583357.123256,294314,-19.899999618530273
1654583517.6609235,295272,-19.899999618530273
1654583662.9593656,296150,-19.899999618530273
1654583832.7121103,297167,-19.920000076293945
1654584772.8277764,302806,-19.940000534057617
1654585130.1898074,304948,-19.920000076293945
1654585480.1509418,307045,-19.950000762939453
1654585611.845735,307835,-19.950000762939453
1654586166.4154341,311148,-19.959999084472656
1654586297.5575078,311938,-19.969999313354492
1654586782.015377,314851,-20.0
1654587086.0662563,316675,-20.049999237060547
1654587242.2026584,317613,-20.049999237060547
1654587802.3634453,320985,-20.020000457763672
1654588198.3689957,323368,-19.979999542236328
1654589089.9070735,328716,-19.940000534057617
1654589273.9887152,329827,-19.920000076293945
1654589473.5003626,331026,-19.940000534057617
1654589682.159415,332280,-19.90999984741211
1654590563.9476657,337539,-19.8799991607666
1654590744.6178575,338610,-19.860000610351562
1654591115.979,340815,-19.8700008392334
1654591583.996217,343612,-19.8700008392334
1654591743.526375,344560,-19.8700008392334
1654591916.9807775,345589,-19.850000381469727
1654592098.5540063,346661,-19.860000610351562
1654592456.2906456,348797,-19.850000381469727
1654592846.8087637,351126,-19.829999923706055
1654593237.1907995,353445,-19.809999465942383
1654593402.3039095,354423,-19.809999465942383
1654593556.7061467,355341,-19.809999465942383
1654594226.5429056,359302,-19.84000015258789
1654594631.7011435,361702,-19.809999465942383
1654594980.0749397,363754,-19.790000915527344
1654595166.826949,364860,-19.799999237060547
1654595327.6164718,365801,-19.809999465942383
