Wall time,Step,Value
1654533777.8186939,1081,-20.0
1654534219.765466,3679,-21.0
1654534381.7698183,4628,-20.0
1654535356.9494622,10383,-19.0
1654535565.481175,11614,-17.0
1654536046.1944926,14472,-21.0
1654536194.2789297,15358,-21.0
1654536646.5607436,18059,-21.0
1654536803.6855404,18999,-21.0
1654536953.856452,19882,-20.0
1654537238.5016015,21591,-21.0
1654537371.3082888,22381,-21.0
1654537850.8130064,25242,-21.0
1654538006.4575212,26182,-21.0
1654539090.5037332,32679,-18.0
1654539556.9966743,35458,-21.0
1654539709.6906767,36368,-21.0
1654539850.8724227,37209,-21.0
1654540022.9441853,38240,-19.0
1654540155.8445535,39031,-21.0
1654541301.9359798,45870,-20.0
1654541510.784191,47124,-18.0
1654541668.5267491,48070,-21.0
1654541974.9443867,49902,-20.0
1654542127.5042324,50812,-21.0
1654542444.6139073,52696,-21.0
1654542882.98173,55304,-21.0
1654543397.7287025,58379,-19.0
1654543544.0655928,59263,-21.0
1654543744.5838165,60469,-19.0
1654543887.3493557,61331,-21.0
1654544206.6505747,63241,-21.0
1654544371.7768245,64228,-21.0
1654544517.0848498,65098,-20.0
1654544675.2654808,66038,-21.0
1654544957.0535529,67709,-21.0
1654545088.1139746,68471,-21.0
1654546016.0627825,74012,-20.0
1654546369.4736922,76101,-19.0
1654546539.1817203,77103,-21.0
1654546863.9832537,79019,-21.0
1654547021.9245558,79963,-21.0
1654547327.2204738,81773,-20.0
1654548011.438465,85808,-20.0
1654548143.6512246,86589,-21.0
1654548978.8186169,91559,-21.0
1654549644.6207373,95496,-20.0
1654549820.5896573,96526,-21.0
1654550338.0082622,99581,-17.0
1654550804.206145,102344,-20.0
1654550955.2638927,103245,-20.0
1654551287.8684726,105228,-20.0
1654552062.6728866,109826,-20.0
1654552399.4802394,111801,-20.0
1654553232.8609517,116704,-21.0
1654553875.0072775,120481,-20.0
1654554027.1672385,121382,-20.0
1654554353.2641904,123303,-21.0
1654554759.1409426,125693,-19.0
1654554937.7648923,126729,-20.0
1654555094.1261058,127631,-20.0
1654555805.1860118,131713,-19.0
1654555950.8486476,132494,-21.0
1654556980.7373064,138127,-19.0
1654557140.0581987,139055,-20.0
1654557477.1952808,140997,-20.0
1654557660.1866024,142050,-20.0
1654558222.4243188,145276,-20.0
1654559421.463332,152367,-18.0
1654559742.474191,154261,-21.0
1654559961.1634574,155556,-20.0
1654560283.386948,157463,-21.0
1654560630.2049778,159511,-19.0
1654560955.8290071,161441,-21.0
1654561608.91473,165309,-19.0
1654561797.1921315,166420,-19.0
1654561974.8358266,167477,-20.0
1654562559.1568987,170748,-19.0
1654562730.1872172,171762,-19.0
1654562936.3085835,172782,-20.0
1654563125.9141195,173910,-20.0
1654563527.6389427,176098,-20.0
1654563691.7357247,177079,-21.0
1654564334.48939,180810,-17.0
1654564482.39456,181680,-21.0
1654564674.5464203,182783,-18.0
1654565154.8981438,185623,-21.0
1654565331.2771947,186672,-20.0
1654565483.3154376,187541,-21.0
1654565664.9921963,188627,-21.0
1654566167.6813967,191620,-21.0
1654566809.0695806,195434,-20.0
1654566955.1264255,196307,-21.0
1654567249.6648605,198057,-21.0
1654567451.7077634,199261,-19.0
1654567641.2979684,200388,-19.0
1654567813.7129974,201422,-20.0
1654568184.2176666,203626,-18.0
1654568495.2800345,205483,-21.0
1654568827.083408,207477,-20.0
1654569155.8769534,209445,-20.0
1654569501.141337,211495,-20.0
1654569641.751506,212334,-21.0
1654570039.021352,214702,-18.0
1654570180.5810199,215548,-21.0
1654570373.3396413,216699,-17.0
1654570512.6661735,217527,-21.0
1654570667.26873,218455,-20.0
1654570962.4019198,220221,-21.0
1654571156.9886258,221382,-19.0
1654571830.9282992,225379,-19.0
1654572906.7843683,231786,-20.0
1654573272.4710798,233964,-20.0
1654573430.809681,234902,-21.0
1654573624.7462206,236060,-20.0
1654574005.0446012,238329,-19.0
1654574137.4169195,239121,-21.0
1654574439.8594768,240924,-21.0
1654574594.9843462,241837,-21.0
1654574818.8144941,243176,-18.0
1654574994.0492992,244225,-19.0
1654575800.9557369,249046,-21.0
1654575963.8863757,250015,-21.0
1654576141.2799084,251080,-20.0
1654576707.6193082,254456,-20.0
1654576871.2678063,255440,-21.0
1654577002.7138624,256231,-21.0
1654577191.1219623,257359,-19.0
1654577490.7491398,259154,-21.0
1654578744.80569,266679,-20.0
1654578932.774643,267816,-19.0
1654579411.3642247,270677,-20.0
1654579622.3194604,271947,-21.0
1654579794.7174327,272973,-20.0
1654580161.8114645,275174,-21.0
1654580484.7413747,277105,-21.0
1654580847.5674033,279281,-18.0
1654581042.61348,280451,-19.0
1654581372.8398201,282420,-19.0
1654581769.3630838,284802,-20.0
1654581948.3367944,285879,-20.0
1654582369.7197406,288417,-17.0
1654583357.123278,294314,-20.0
1654583517.6609604,295272,-21.0
1654583662.9593854,296150,-21.0
1654583832.7121294,297167,-20.0
1654584772.8277977,302806,-21.0
1654585130.189827,304948,-20.0
1654585480.1509616,307045,-19.0
1654585611.8457608,307835,-21.0
1654586166.4154534,311148,-20.0
1654586297.5575297,311938,-21.0
1654586782.0153966,314851,-21.0
1654587086.066277,316675,-21.0
1654587242.2026846,317613,-21.0
1654587802.3634973,320985,-16.0
1654588198.369014,323368,-18.0
1654589089.907093,328716,-18.0
1654589273.9887507,329827,-18.0
1654589473.5003827,331026,-20.0
1654589682.1594338,332280,-18.0
1654590563.9476848,337539,-21.0
1654590744.617877,338610,-19.0
1654591115.9790215,340815,-20.0
1654591583.9962368,343612,-20.0
1654591743.5263953,344560,-21.0
1654591916.9807973,345589,-19.0
1654592098.5540257,346661,-19.0
1654592456.29067,348797,-19.0
1654592846.808783,351126,-20.0
1654593237.1908193,353445,-17.0
1654593402.3039289,354423,-21.0
1654593556.706171,355341,-20.0
1654594226.542927,359302,-21.0
1654594631.7011647,361702,-19.0
1654594980.0749745,363754,-19.0
1654595166.826969,364860,-20.0
1654595327.6165073,365801,-21.0
1654595488.4305568,366761,-20.0
1654595684.8062952,367922,-20.0
1654595871.4696538,369029,-20.0
1654596026.579101,369941,-21.0
1654596999.0643833,375659,-19.0
1654597561.589309,378962,-21.0
1654597755.8928654,380122,-20.0
1654599011.4159198,387541,-18.0
1654599159.26957,388419,-21.0
1654599850.0518816,392472,-19.0
1654600098.011008,393939,-19.0
1654600279.0533028,395007,-20.0
1654600470.5844474,396129,-20.0
1654600668.591596,397302,-18.0
1654600876.316414,398525,-20.0
1654601097.169778,399819,-20.0
1654601257.9089088,400781,-20.0
1654601486.7452295,402154,-19.0
1654601644.2622602,403102,-20.0
1654601982.0693076,405132,-21.0
1654602163.1873927,406220,-19.0
1654602500.9355211,408254,-19.0
1654603211.7112517,412535,-20.0
1654603389.5809364,413601,-20.0
1654603871.8891714,416489,-20.0
1654604063.296018,417633,-18.0
1654604271.1313865,418873,-20.0
1654604431.40284,419831,-20.0
1654604883.6101015,422550,-21.0
1654605459.5371642,425998,-19.0
1654605646.7194066,427125,-20.0
1654606229.733134,430635,-18.0
1654606397.3992274,431644,-20.0
1654607028.9616818,435427,-21.0
1654607171.126979,436279,-21.0
1654607733.870613,439669,-17.0
1654607913.2188666,440752,-20.0
1654608096.3320596,441849,-20.0
1654608276.7465305,442926,-20.0
1654608474.18476,444105,-18.0
1654608627.8850818,445024,-20.0
1654608815.149514,446154,-19.0
1654609034.085505,447464,-19.0
1654609393.3865402,449629,-21.0
1654609556.3822186,450605,-20.0
1654609799.7333217,452056,-17.0
1654609985.2881129,453172,-21.0
1654610749.756776,457759,-19.0
1654610965.6550424,459059,-19.0
1654611138.8213873,460087,-21.0
1654611323.1503205,461185,-19.0
1654611541.0240858,462490,-18.0
1654611943.5596092,464890,-19.0
1654612353.0923145,467325,-19.0
1654612687.2163627,469312,-21.0
1654612864.6630385,470363,-19.0
1654613395.139732,473512,-19.0
1654613560.5140584,474503,-21.0
1654613730.4251812,475508,-20.0
1654614118.7426174,477811,-19.0
1654614513.3805308,480166,-20.0
1654615157.995031,484004,-20.0
1654615326.8915238,485011,-20.0
1654615920.016259,488540,-18.0
1654616103.52548,489628,-19.0
1654616331.5584288,490987,-16.0
1654616509.954897,492025,-19.0
1654616656.6682296,492907,-21.0
1654616852.1741872,494075,-19.0
1654617008.0640752,494999,-20.0
1654617316.5418832,496841,-19.0
1654617489.4712186,497876,-20.0
1654617671.245,498958,-20.0
1654617821.005395,499848,-21.0
1654618162.7388475,501897,-19.0
1654618673.3887212,504960,-20.0
1654619331.5071368,508909,-21.0
1654619859.7224755,512090,-21.0
1654620009.589137,512995,-21.0
1654620187.8550696,514066,-20.0
1654620738.0277784,517368,-21.0
1654621096.6471817,519508,-19.0
1654621270.9632096,520556,-21.0
1654621432.0831625,521519,-20.0
1654621636.7060633,522740,-17.0
1654621796.5574365,523701,-20.0
1654621966.5670424,524722,-19.0
1654622121.3558877,525647,-20.0
1654622650.0705044,528813,-20.0
1654622838.4129672,529946,-18.0
1654623013.0817823,531002,-19.0
1654623220.4520466,532248,-18.0
1654623752.3251276,535445,-21.0
1654625026.7727752,543068,-20.0
1654625615.1304302,546593,-20.0
1654625788.9110112,547632,-20.0
1654626107.1060474,549531,-20.0
1654626286.7572587,550606,-20.0
1654626468.6341481,551685,-19.0
1654626661.2020478,552825,-20.0
1654626844.1717029,553922,-19.0
1654627211.6348057,556133,-20.0
1654627425.9815137,557411,-19.0
1654627590.0725737,558394,-20.0
1654627924.2259436,560376,-21.0
1654628097.1609895,561410,-19.0
1654628738.4838917,565245,-19.0
1654629057.4052393,567153,-21.0
1654629504.2993555,569825,-17.0
1654629716.8120134,571081,-19.0
1654629921.8594875,572309,-17.0
1654631096.5238924,579304,-18.0
1654631312.8356001,580584,-15.0
1654631494.7032661,581665,-19.0
1654632286.76796,586376,-16.0
1654632880.921918,589927,-19.0
1654633230.7895648,592003,-20.0
1654633833.292955,595614,-19.0
1654634541.4560783,599852,-20.0
1654635314.746411,604491,-18.0
1654635519.3406932,605715,-18.0
1654635745.8948665,607069,-18.0
1654636112.9228194,609252,-21.0
1654636527.86683,611718,-20.0
1654636781.4960008,613220,-19.0
1654636954.756132,614255,-20.0
1654637351.486893,616604,-20.0
1654637679.8274357,618551,-21.0
1654637889.9190319,619804,-17.0
1654638074.2262504,620890,-18.0
1654638245.2302144,621895,-21.0
1654638682.2419715,624453,-20.0
1654638900.0203447,625735,-19.0
1654639102.2247832,626919,-18.0
1654639547.3198082,629560,-19.0
1654640140.6407456,633080,-19.0
1654640477.3712018,635069,-21.0
1654641102.8602593,638754,-18.0
1654641280.29589,639803,-20.0
1654641728.2090483,642434,-21.0
1654642080.188149,644477,-20.0
1654642478.6502526,646800,-20.0
